,region,date,AVG_temp(°C),day_precipitation(mm),AVG_wind(m/s),AVG_relative_hum(%)
0,105,01-01,0.72,0.62,3.71,38.51
1,105,01-02,1.66,0.4,3.33,41.4
2,105,01-03,1.36,0.65,3.1,38.1
3,105,01-04,1.34,2.25,3.0,47.01
4,105,01-05,0.88,0.61,3.4,44.94
5,105,01-06,0.39,0.0,3.06,42.73
6,105,01-07,1.1,0.0,3.21,36.76
7,105,01-08,1.74,0.15,3.28,38.93
8,105,01-09,0.07,0.05,3.67,33.64
9,105,01-10,-0.07,0.0,3.39,30.85
10,105,01-11,-0.63,0.0,3.22,36.49
11,105,01-12,-0.79,0.2,3.56,38.02
12,105,01-13,-0.57,0.0,3.07,36.94
13,105,01-14,0.49,0.15,3.11,35.58
14,105,01-15,0.58,0.35,2.87,44.53
15,105,01-16,0.45,0.08,3.16,44.74
16,105,01-17,1.28,1.56,2.63,50.16
17,105,01-18,1.9,0.0,3.45,39.23
18,105,01-19,1.63,1.65,3.06,43.04
19,105,01-20,1.67,4.15,2.57,55.9
20,105,01-21,0.54,6.45,2.51,59.05
21,105,01-22,0.08,3.13,3.16,50.69
22,105,01-23,-1.16,0.01,3.77,39.32
23,105,01-24,-1.31,0.0,3.99,35.34
24,105,01-25,-1.48,1.06,3.52,38.61
25,105,01-26,-1.09,0.59,3.49,40.22
26,105,01-27,1.2,0.26,3.68,34.98
27,105,01-28,1.22,0.1,2.85,40.2
28,105,01-29,0.88,2.1,2.86,43.6
29,105,01-30,1.65,2.25,3.24,46.03
30,105,01-31,1.24,1.5,2.68,45.15
31,105,02-01,0.62,1.62,2.82,48.11
32,105,02-02,1.79,0.05,3.41,39.0
33,105,02-03,1.11,0.9,3.23,41.5
34,105,02-04,1.58,0.06,3.33,36.24
35,105,02-05,0.98,0.45,2.64,40.17
36,105,02-06,1.42,1.49,2.76,45.53
37,105,02-07,0.39,3.8,2.89,42.8
38,105,02-08,-0.28,2.15,2.8,43.16
39,105,02-09,0.31,4.2,2.84,46.79
40,105,02-10,0.33,2.55,2.78,52.9
41,105,02-11,0.04,9.5,2.61,52.54
42,105,02-12,0.02,6.0,2.33,52.12
43,105,02-13,1.15,2.76,2.38,51.66
44,105,02-14,2.43,1.75,2.65,55.59
45,105,02-15,1.92,0.15,2.69,51.85
46,105,02-16,2.52,0.65,2.83,45.68
47,105,02-17,1.9,2.65,2.72,48.57
48,105,02-18,1.76,1.01,2.58,49.09
49,105,02-19,2.78,1.05,2.51,47.02
50,105,02-20,2.82,0.0,2.7,46.22
51,105,02-21,2.56,0.2,2.23,50.9
52,105,02-22,4.26,0.35,2.56,52.85
53,105,02-23,4.63,0.22,2.84,50.48
54,105,02-24,5.01,0.36,2.46,51.41
55,105,02-25,4.58,0.96,2.18,56.29
56,105,02-26,4.244,0.111,2.267,55.556
57,105,02-27,4.02,4.48,2.01,62.11
58,105,02-28,5.11,7.15,2.05,59.1
59,105,03-01,4.45,4.92,2.67,57.11
60,105,03-02,3.54,4.45,2.61,56.9
61,105,03-03,5.52,0.65,2.51,50.81
62,105,03-04,5.2,2.2,2.21,58.26
63,105,03-05,4.91,7.35,2.38,62.35
64,105,03-06,5.09,1.9,2.43,58.55
65,105,03-07,4.69,2.1,2.38,54.8
66,105,03-08,5.38,3.51,2.69,49.89
67,105,03-09,4.25,3.35,2.5,55.96
68,105,03-10,3.39,1.73,2.62,50.74
69,105,03-11,5.1,0.0,3.38,37.36
70,105,03-12,7.69,0.81,3.23,37.68
71,105,03-13,6.72,2.81,2.97,47.24
72,105,03-14,6.32,0.98,2.53,54.19
73,105,03-15,7.64,1.9,2.92,48.72
74,105,03-16,7.25,0.21,2.86,41.37
75,105,03-17,8.73,0.85,2.11,45.34
76,105,03-18,9.59,4.85,2.37,51.11
77,105,03-19,9.25,1.23,2.49,52.5
78,105,03-20,7.41,6.25,2.2,60.52
79,105,03-21,7.24,1.91,2.87,50.69
80,105,03-22,7.8,1.0,2.65,44.8
81,105,03-23,6.91,5.77,2.4,53.02
82,105,03-24,7.2,0.57,2.94,49.11
83,105,03-25,7.46,5.0,2.83,56.96
84,105,03-26,9.19,0.1,2.64,42.71
85,105,03-27,11.3,1.25,3.13,42.97
86,105,03-28,11.55,1.2,2.91,46.18
87,105,03-29,10.54,0.0,2.72,47.35
88,105,03-30,11.01,0.65,2.69,48.93
89,105,03-31,11.36,1.13,2.33,50.23
90,105,04-01,10.6,2.22,2.62,50.54
91,105,04-02,10.73,1.1,2.59,52.82
92,105,04-03,10.09,9.08,2.72,56.16
93,105,04-04,9.73,3.1,2.6,54.29
94,105,04-05,10.23,1.61,2.31,52.01
95,105,04-06,9.95,4.4,2.53,56.52
96,105,04-07,9.53,4.4,2.62,58.69
97,105,04-08,11.89,0.17,2.97,46.67
98,105,04-09,13.02,1.8,3.08,43.1
99,105,04-10,11.67,2.7,2.78,50.12
100,105,04-11,10.02,1.2,2.25,61.03
101,105,04-12,11.7,0.01,2.47,50.36
102,105,04-13,13.04,0.41,3.19,46.31
103,105,04-14,12.69,4.05,2.84,47.6
104,105,04-15,14.93,0.01,3.16,39.95
105,105,04-16,14.25,1.61,2.57,45.68
106,105,04-17,12.91,2.5,2.7,49.97
107,105,04-18,13.28,3.12,2.68,54.16
108,105,04-19,12.23,2.55,2.34,55.5
109,105,04-20,12.91,2.45,1.98,59.55
110,105,04-21,14.11,8.0,2.14,56.5
111,105,04-22,13.58,3.58,2.54,56.8
112,105,04-23,15.33,5.48,2.59,47.11
113,105,04-24,15.74,3.01,2.75,46.46
114,105,04-25,15.47,1.4,2.6,45.89
115,105,04-26,15.42,4.65,2.77,51.3
116,105,04-27,14.48,1.31,2.87,50.27
117,105,04-28,15.01,3.0,2.77,51.12
118,105,04-29,15.65,11.95,2.74,50.64
119,105,04-30,15.81,5.3,2.93,57.8
120,105,05-01,16.35,0.25,2.27,58.46
121,105,05-02,16.59,3.15,2.38,59.81
122,105,05-03,16.62,1.27,2.71,56.11
123,105,05-04,17.53,0.04,2.87,49.51
124,105,05-05,19.73,0.0,3.43,36.33
125,105,05-06,17.12,1.26,3.01,46.96
126,105,05-07,17.89,0.15,2.92,42.47
127,105,05-08,18.09,1.4,2.63,47.27
