,region,date,AVG_temp(°C),day_precipitation(mm),AVG_wind(m/s),AVG_relative_hum(%)
115,105,2010-04-26,14.2,3.0,2.4,59.8
116,105,2010-04-27,12.0,0.5,4.1,55.5
117,105,2010-04-28,8.6,0.0,4.7,49.5
118,105,2010-04-29,10.6,0.0,4.8,42.6
119,105,2010-04-30,12.2,0.0,4.0,42.0
120,105,2010-05-01,15.8,0.0,5.0,35.8
121,105,2010-05-02,21.8,0.0,4.9,23.4
122,105,2010-05-03,24.6,0.0,4.8,38.5
123,105,2010-05-04,24.0,0.0,3.9,45.3
124,105,2010-05-05,22.6,0.0,2.5,48.4
125,105,2010-05-06,22.1,0.0,5.0,46.3
126,105,2010-05-07,19.6,0.0,5.5,31.1
127,105,2010-05-08,18.4,0.0,2.7,36.5
128,105,2010-05-09,14.8,0.0,1.4,63.0
129,105,2010-05-10,13.9,0.0,1.3,74.9
130,105,2010-05-11,9.6,8.0,2.7,87.5
131,105,2010-05-12,12.3,0.0,1.2,68.4
132,105,2010-05-13,12.1,0.0,1.5,78.9
133,105,2010-05-14,15.8,0.0,2.6,46.9
134,105,2010-05-15,18.4,0.0,2.4,46.1
135,105,2010-05-16,21.7,0.0,2.4,38.0
136,105,2010-05-17,21.5,0.5,2.1,52.1
137,105,2010-05-18,15.8,16.0,1.1,94.6
138,105,2010-05-19,20.3,0.0,2.2,59.0
139,105,2010-05-20,25.1,0.0,5.3,32.3
140,105,2010-05-21,25.5,0.0,2.9,33.4
141,105,2010-05-22,22.8,1.0,2.3,47.8
142,105,2010-05-23,13.9,78.0,2.9,98.0
143,105,2010-05-24,12.0,1.5,2.1,88.5
144,105,2010-05-25,12.8,4.0,1.7,85.0
145,105,2010-05-26,11.2,1.0,3.0,82.8
146,105,2010-05-27,13.2,0.0,1.7,67.3
147,105,2010-05-28,15.6,0.0,1.0,73.5
148,105,2010-05-29,13.8,0.0,1.3,84.3
149,105,2010-05-30,14.0,0.0,1.5,75.5
150,105,2010-05-31,13.0,0.0,1.8,70.0
151,105,2010-06-01,14.6,0.0,1.9,54.5
152,105,2010-06-02,16.8,0.0,1.4,57.1
153,105,2010-06-03,20.2,0.0,1.4,54.4
154,105,2010-06-04,22.4,0.0,1.4,54.9
155,105,2010-06-05,23.5,0.0,2.6,54.9
156,105,2010-06-06,23.2,0.0,1.4,61.1
157,105,2010-06-07,19.8,0.0,1.2,71.3
158,105,2010-06-08,19.2,0.0,1.8,63.6
159,105,2010-06-09,22.0,0.0,1.6,53.6
160,105,2010-06-10,22.4,0.0,1.6,49.3
161,105,2010-06-11,19.0,0.0,1.3,71.0
162,105,2010-06-12,18.3,0.5,0.9,85.4
163,105,2010-06-13,20.1,0.0,1.2,79.0
164,105,2010-06-14,20.9,0.1,1.2,82.3
165,105,2010-06-15,21.6,8.0,1.1,85.3
166,105,2010-06-16,24.9,0.0,1.9,63.9
167,105,2010-06-17,25.8,0.0,2.4,59.5
168,105,2010-06-18,23.3,0.0,1.4,79.3
169,105,2010-06-19,23.7,0.0,1.3,77.5
170,105,2010-06-20,25.0,2.5,2.2,65.8
171,105,2010-06-21,24.1,0.0,1.6,70.5
172,105,2010-06-22,23.7,0.0,2.1,58.6
173,105,2010-06-23,21.9,0.0,1.8,50.8
174,105,2010-06-24,24.2,0.0,2.0,45.5
175,105,2010-06-25,24.4,0.0,1.8,58.8
176,105,2010-06-26,20.7,10.5,1.4,91.4
177,105,2010-06-27,21.3,11.5,0.9,89.1
178,105,2010-06-28,24.9,0.0,1.6,68.1
179,105,2010-06-29,24.9,0.1,1.9,70.6
180,105,2010-06-30,22.9,1.5,1.1,88.1
181,105,2010-07-01,23.2,3.0,1.0,86.9
182,105,2010-07-02,22.2,9.5,0.8,94.8
183,105,2010-07-03,21.8,7.5,1.5,96.1
184,105,2010-07-04,22.1,2.0,0.9,92.6
185,105,2010-07-05,24.1,2.0,1.3,84.4
186,105,2010-07-06,24.4,6.0,1.7,75.8
187,105,2010-07-07,21.1,1.0,1.2,89.0
188,105,2010-07-08,21.3,0.0,1.4,85.0
189,105,2010-07-09,23.2,9.0,1.4,81.6
190,105,2010-07-10,23.0,0.0,1.5,84.0
191,105,2010-07-11,20.5,29.0,1.1,96.1
192,105,2010-07-12,22.4,0.0,1.8,80.8
193,105,2010-07-13,22.4,0.0,1.8,83.1
194,105,2010-07-14,22.0,0.0,1.6,79.5
195,105,2010-07-15,22.4,0.0,1.6,81.4
196,105,2010-07-16,23.6,1.0,1.1,84.0
197,105,2010-07-17,25.6,4.0,0.8,84.8
198,105,2010-07-18,29.6,0.0,2.0,57.4
199,105,2010-07-19,29.3,0.0,1.6,58.0
200,105,2010-07-20,29.7,0.0,1.9,60.6
201,105,2010-07-21,30.7,0.0,2.6,57.0
202,105,2010-07-22,30.7,0.0,2.9,55.5
203,105,2010-07-23,28.2,1.0,3.3,60.9
204,105,2010-07-24,28.5,1.0,2.7,61.5
205,105,2010-07-25,27.6,12.5,1.7,71.9
206,105,2010-07-26,29.6,0.0,3.6,54.3
207,105,2010-07-27,30.7,0.0,3.4,48.9
208,105,2010-07-28,29.5,0.0,2.8,55.5
209,105,2010-07-29,30.0,0.0,2.4,59.8
210,105,2010-07-30,29.3,0.0,1.9,65.1
211,105,2010-07-31,31.2,0.0,4.6,50.6
212,105,2010-08-01,29.9,0.0,3.4,61.6
213,105,2010-08-02,23.5,4.5,1.4,92.4
214,105,2010-08-03,23.6,0.5,1.2,89.4
215,105,2010-08-04,26.7,0.0,1.0,82.0
216,105,2010-08-05,30.9,0.0,1.6,65.9
217,105,2010-08-06,29.8,0.5,2.1,68.6
218,105,2010-08-07,27.3,2.5,1.7,80.6
219,105,2010-08-08,27.4,0.0,1.7,72.5
220,105,2010-08-09,28.2,0.0,1.8,70.0
221,105,2010-08-10,26.4,13.5,1.0,85.5
222,105,2010-08-11,24.6,23.0,1.5,96.4
223,105,2010-08-12,25.2,0.2,1.8,79.6
224,105,2010-08-13,23.9,12.0,1.0,93.1
225,105,2010-08-14,26.8,3.0,1.5,84.1
226,105,2010-08-15,28.5,9.5,2.4,67.8
227,105,2010-08-16,26.1,0.5,1.8,70.0
228,105,2010-08-17,25.6,0.0,2.2,61.9
229,105,2010-08-18,23.9,7.5,1.3,82.0
230,105,2010-08-19,25.6,0.0,1.1,82.4
231,105,2010-08-20,28.1,0.0,1.2,78.1
232,105,2010-08-21,30.6,0.0,2.3,61.8
233,105,2010-08-22,31.0,0.0,2.8,57.9
234,105,2010-08-23,29.4,0.0,1.7,65.0
235,105,2010-08-24,25.6,7.5,1.3,83.8
236,105,2010-08-25,21.1,36.0,1.3,94.8
237,105,2010-08-26,22.2,33.0,1.0,96.8
238,105,2010-08-27,24.2,0.1,1.2,87.8
239,105,2010-08-28,25.1,0.1,1.0,90.9
240,105,2010-08-29,28.2,7.5,1.6,76.1
241,105,2010-08-30,27.0,0.5,1.9,72.8
242,105,2010-08-31,25.4,13.5,1.6,85.3
243,105,2010-09-01,25.4,0.5,1.8,83.0
244,105,2010-09-02,26.0,7.5,2.6,75.0
245,105,2010-09-03,26.7,0.0,1.7,70.4
246,105,2010-09-04,25.7,0.0,1.1,80.4
247,105,2010-09-05,26.7,27.5,2.2,74.0
248,105,2010-09-06,23.7,10.5,1.4,89.6
249,105,2010-09-07,22.1,0.0,2.0,86.3
250,105,2010-09-08,20.0,0.0,2.0,66.8
251,105,2010-09-09,19.9,1.5,1.3,73.8
252,105,2010-09-10,21.0,14.5,1.0,94.3
253,105,2010-09-11,20.4,44.0,1.1,94.9
254,105,2010-09-12,19.9,73.5,1.7,93.3
255,105,2010-09-13,20.7,0.5,1.1,87.5
256,105,2010-09-14,21.6,0.0,1.9,69.4
257,105,2010-09-15,21.3,0.0,2.2,67.5
258,105,2010-09-16,22.4,0.0,2.3,56.8
259,105,2010-09-17,23.5,0.0,2.2,65.4
260,105,2010-09-18,22.8,0.0,1.3,77.9
261,105,2010-09-19,19.5,22.5,1.0,88.6
262,105,2010-09-20,20.9,0.5,1.0,86.3
263,105,2010-09-21,20.6,54.0,2.0,90.4
264,105,2010-09-22,15.2,13.5,1.6,91.8
265,105,2010-09-23,15.8,0.5,1.8,80.9
266,105,2010-09-24,16.5,0.0,2.8,66.5
267,105,2010-09-25,16.4,0.0,2.3,73.3
268,105,2010-09-26,17.3,0.0,2.4,70.4
269,105,2010-09-27,20.1,0.0,2.0,62.1
270,105,2010-09-28,17.7,0.0,3.0,49.3
271,105,2010-09-29,14.8,0.0,2.6,62.0
272,105,2010-09-30,15.5,0.0,2.7,60.8
273,105,2010-10-01,16.3,0.0,2.5,66.5
274,105,2010-10-02,17.7,11.5,1.2,84.5
275,105,2010-10-03,19.4,3.0,3.5,67.4
276,105,2010-10-04,17.0,0.0,3.5,58.5
277,105,2010-10-05,15.6,0.0,2.3,73.5
278,105,2010-10-06,17.1,0.0,2.5,69.0
279,105,2010-10-07,17.3,0.0,2.2,71.1
280,105,2010-10-08,17.3,0.5,1.7,83.3
281,105,2010-10-09,16.9,1.0,1.7,84.9
282,105,2010-10-10,17.6,0.0,1.5,74.6
283,105,2010-10-11,18.3,0.0,1.9,70.3
284,105,2010-10-12,19.5,0.0,2.4,61.1
285,105,2010-10-13,15.1,6.0,1.9,89.3
286,105,2010-10-14,16.5,0.0,1.8,71.1
287,105,2010-10-15,15.5,0.0,2.9,43.0
288,105,2010-10-16,17.9,0.0,3.4,42.9
289,105,2010-10-17,16.3,0.0,2.3,62.1
290,105,2010-10-18,14.0,0.0,2.2,69.0
291,105,2010-10-19,15.0,0.0,2.4,68.6
292,105,2010-10-20,16.4,0.0,1.7,76.5
293,105,2010-10-21,13.8,23.0,1.3,93.0
294,105,2010-10-22,14.7,0.0,2.2,77.4
295,105,2010-10-23,15.0,0.0,2.1,71.4
296,105,2010-10-24,17.0,0.0,1.5,65.1
297,105,2010-10-25,13.4,3.5,2.4,76.5
298,105,2010-10-26,5.4,0.0,3.2,43.1
299,105,2010-10-27,7.6,0.0,1.8,56.5
300,105,2010-10-28,8.2,0.0,2.6,50.8
301,105,2010-10-29,9.1,0.0,2.6,66.0
302,105,2010-10-30,10.7,0.0,2.3,74.5
303,105,2010-10-31,11.0,5.0,2.0,82.1
304,105,2010-11-01,12.2,0.0,2.3,59.0
305,105,2010-11-02,9.0,0.0,2.5,36.9
306,105,2010-11-03,9.7,0.0,3.6,27.5
307,105,2010-11-04,12.9,0.0,3.3,47.0
308,105,2010-11-05,14.7,0.0,3.1,41.4
309,105,2010-11-06,15.9,0.0,3.5,42.3
310,105,2010-11-07,14.7,0.0,2.7,45.5
311,105,2010-11-08,10.2,0.0,4.8,49.6
312,105,2010-11-09,5.1,0.0,5.0,34.5
313,105,2010-11-10,6.8,0.0,3.1,29.1
314,105,2010-11-11,10.4,12.0,3.1,52.0
315,105,2010-11-12,10.5,0.0,4.5,45.5
316,105,2010-11-13,13.5,0.0,3.4,33.8
317,105,2010-11-14,10.3,0.0,2.3,55.4
318,105,2010-11-15,5.2,0.0,2.1,30.6
319,105,2010-11-16,6.5,0.0,2.4,34.5
320,105,2010-11-17,6.9,0.0,2.4,54.9
321,105,2010-11-18,7.7,0.0,2.7,53.8
322,105,2010-11-19,8.9,0.0,2.2,36.9
323,105,2010-11-20,10.8,0.0,2.9,44.9
324,105,2010-11-21,14.2,0.0,2.9,43.6
325,105,2010-11-22,12.4,0.0,3.1,42.8
